country,country_code,r0
Afghanistan,AFG,24.52680901
Angola,AGO,11.69657826
Albania,ALB,33.32141339
Armenia,ARM,19.41185298
Azerbaijan,AZE,19.41185298
Burundi,BDI,14.25155967
Benin,BEN,18.75644086
Burkina Faso,BFA,18.75644086
Bangladesh,BGD,24.52680901
Bosnia and Herzegovina,BIH,33.32141339
Belarus,BLR,33.32141339
Belize,BLZ,18.75644086
Bolivia,BOL,18.75644086
Bhutan,BTN,24.52680901
Central African Republic,CAF,11.69657826
China,CHN,15.1752945
Cote d'Ivoire,CIV,18.75644086
Cameroon,CMR,11.69657826
"Congo, DR",COD,11.69657826
"Congo, Rep.",COG,11.69657826
Colombia,COL,18.78838333
Comoros,COM,14.25155967
Cape Verde,CPV,18.75644086
Cuba,CUB,18.75644086
Djibouti,DJI,14.25155967
Algeria,DZA,15.9736238
Ecuador,ECU,18.78838333
Egypt,EGY,15.9736238
Eritrea,ERI,14.25155967
Ethiopia,ETH,14.25155967
Fiji,FJI,27.30718785
Micronesia,FSM,27.30718785
Georgia,GEO,19.41185298
Ghana,GHA,18.75644086
Guinea,GIN,18.75644086
Gambia,GMB,18.75644086
Guinea-Bissau,GNB,18.75644086
Guatemala,GTM,18.75644086
Guyana,GUY,18.75644086
Honduras,HND,18.75644086
Haiti,HTI,18.75644086
Indonesia,IDN,19.23677025
India,IND,24.52680901
Iran,IRN,19.23677025
Iraq,IRQ,19.41185298
Jamaica,JAM,18.78838333
Jordan,JOR,19.23677025
Kenya,KEN,14.25155967
Kyrgyzstan,KGZ,24.52680901
Cambodia,KHM,19.23677025
Kiribati,KIR,27.30718785
Lao PDR,LAO,19.23677025
Liberia,LBR,18.75644086
Sri Lanka,LKA,24.52680901
Lesotho,LSO,18.78838333
Morocco,MAR,15.9736238
Moldova,MDA,33.16388342
Madagascar,MDG,14.25155967
Marshall Islands,MHL,27.30718785
Macedonia,MKD,33.32141339
Mali,MLI,18.75644086
Myanmar,MMR,19.23677025
Mongolia,MNG,15.1752945
Mozambique,MOZ,14.25155967
Mauritania,MRT,18.75644086
Malawi,MWI,14.25155967
Namibia,NAM,11.69657826
Niger,NER,18.75644086
Nigeria,NGA,18.75644086
Nicaragua,NIC,18.75644086
Nepal,NPL,24.52680901
Pakistan,PAK,24.52680901
Peru,PER,18.78838333
Philippines,PHL,19.23677025
Papua New Guinea,PNG,27.30718785
"Korea, DPR",PRK,15.1752945
Paraguay,PRY,18.75644086
West Bank and Gaza,PSE,18.75644086
Rwanda,RWA,14.25155967
Sudan: North,SDN,15.9736238
Senegal,SEN,18.75644086
Solomon Islands,SLB,27.30718785
Sierra Leone,SLE,18.75644086
El Salvador,SLV,18.75644086
Somalia,SOM,14.25155967
Serbia,SRB,33.32141339
Sudan: South,SSD,14.25155967
Sao Tome e Principe,STP,27.30718785
Swaziland,SWZ,18.78838333
Syria,SYR,19.41185298
Chad,TCD,11.69657826
Togo,TGO,18.75644086
Thailand,THA,19.23677025
Tajikistan,TJK,24.52680901
Turkmenistan,TKM,24.52680901
Timor-Leste,TLS,19.23677025
Tonga,TON,27.30718785
Tunisia,TUN,15.9736238
Tuvalu,TUV,27.30718785
Tanzania,TZA,14.25155967
Uganda,UGA,14.25155967
Ukraine,UKR,33.16388342
Uzbekistan,UZB,24.52680901
Venezuela,VEN,18.78838333
Vietnam,VNM,19.23677025
Vanuatu,VUT,27.30718785
Samoa,WSM,27.30718785
Kosovo,XK,33.32141339
Yemen,YEM,19.41185298
South Africa,ZAF,11.69657826
Zambia,ZMB,14.25155967
Zimbabwe,ZWE,14.25155967
